,LSTAT,RM,CHAS,INDUS,TAX,RAD,BLACK,MEDVDerived
0,4.98,6.575,0,2.31,296,1,396.9,3.17805383
1,9.14,6.421,0,7.07,242,2,396.9,3.072693315
2,4.03,7.185,0,7.07,242,2,392.83,3.546739687
3,2.94,6.998,0,2.18,222,3,394.63,3.5085559
4,5.33,7.147,0,2.18,222,3,396.9,3.589059119
5,5.21,6.43,0,2.18,222,3,394.12,3.356897123
6,12.43,6.012,0,7.87,311,5,395.6,3.131136911
7,19.15,6.172,0,7.87,311,5,396.9,3.299533728
8,29.93,5.631,0,7.87,311,5,386.63,2.803360381
9,17.1,6.004,0,7.87,311,5,386.71,2.939161922
10,20.45,6.377,0,7.87,311,5,392.52,2.708050201
11,13.27,6.009,0,7.87,311,5,396.9,2.939161922
12,15.71,5.889,0,7.87,311,5,390.5,3.077312261
13,8.26,5.949,0,8.14,307,4,396.9,3.015534901
14,10.26,6.096,0,8.14,307,4,380.02,2.901421594
15,8.47,5.834,0,8.14,307,4,395.62,2.990719732
16,6.58,5.935,0,8.14,307,4,386.85,3.139832618
17,14.67,5.99,0,8.14,307,4,386.75,2.862200881
18,11.69,5.456,0,8.14,307,4,288.99,3.005682604
19,11.28,5.727,0,8.14,307,4,390.95,2.901421594
20,21.02,5.57,0,8.14,307,4,376.57,2.610069793
21,13.83,5.965,0,8.14,307,4,392.53,2.975529566
22,18.72,6.142,0,8.14,307,4,396.9,2.721295428
23,19.88,5.813,0,8.14,307,4,394.54,2.674148649
24,16.3,5.924,0,8.14,307,4,394.33,2.747270914
25,16.51,5.599,0,8.14,307,4,303.42,2.63188884
26,14.81,5.813,0,8.14,307,4,376.88,2.809402695
27,17.28,6.047,0,8.14,307,4,306.38,2.694627181
28,12.8,6.495,0,8.14,307,4,387.94,2.912350665
29,11.98,6.674,0,8.14,307,4,380.23,3.044522438
30,22.6,5.713,0,8.14,307,4,360.17,2.541601993
31,13.04,6.072,0,8.14,307,4,376.73,2.674148649
32,27.71,5.95,0,8.14,307,4,232.6,2.58021683
33,18.35,5.701,0,8.14,307,4,358.77,2.57261223
34,20.34,6.096,0,8.14,307,4,248.31,2.602689685
35,9.68,5.933,0,5.96,279,5,396.9,2.939161922
36,11.41,5.841,0,5.96,279,5,377.56,2.995732274
37,8.77,5.85,0,5.96,279,5,396.9,3.044522438
38,10.13,5.966,0,5.96,279,5,393.43,3.206803244
39,4.32,6.595,0,2.95,252,3,395.63,3.42751469
40,1.98,7.024,0,2.95,252,3,395.62,3.552486829
41,4.84,6.77,0,6.91,233,3,385.41,3.280911216
42,5.81,6.169,0,6.91,233,3,383.37,3.230804396
43,7.44,6.211,0,6.91,233,3,394.46,3.206803244
44,9.55,6.069,0,6.91,233,3,389.39,3.054001182
45,10.21,5.682,0,6.91,233,3,396.9,2.960105096
46,14.15,5.786,0,6.91,233,3,396.9,2.995732274
47,18.8,6.03,0,6.91,233,3,392.74,2.809402695
48,30.81,5.399,0,6.91,233,3,396.9,2.667228207
49,16.2,5.602,0,6.91,233,3,396.9,2.965273066
50,13.45,5.963,0,5.64,243,4,395.56,2.980618636
51,9.43,6.115,0,5.64,243,4,393.97,3.020424886
52,5.28,6.511,0,5.64,243,4,396.9,3.218875825
53,8.43,5.998,0,5.64,243,4,396.9,3.152736022
